,id,userId,gender,sport,time_start,time_end,time_dur,lat_start,lat_end,lon_start,lon_end,alt_avg,alt_min,alt_q1,alt_q3,alt_max,hr_avg,hr_min,hr_q1,hr_q3,hr_max,spd_avg,spd_min,spd_q1,spd_q3,spd_max
0,1,10921915.0,male,bike,1408898746.0,1408906335.0,126.48333333333333,60.173348765820265,60.17335429787636,24.64977040886879,24.6496663056314,43.0712,14.6,32.75,52.6,74.2,152.65,100.0,146.0,160.0,177.0,26.162157599999997,3.8592,19.897199999999998,31.7313,57.4596
1,2,10921915.0,male,bike,1408221682.0,1408226122.0,74.0,60.173247596248984,60.173343820497394,24.649855233728886,24.649680806323886,35.7248,17.2,28.8,42.2,67.8,147.71,100.0,140.0,156.0,174.0,27.218368799999997,8.082,21.8106,31.925700000000003,54.7704
2,3,10921915.0,male,bike,1407858459.0,1407865208.0,112.48333333333333,60.17326201312244,60.17336569726467,24.64995657093823,24.64971039444208,62.425599999999996,33.4,53.8,72.4,94.0,140.554,99.0,133.0,149.0,168.0,26.050773599999996,0.0,20.599199999999996,31.0365,59.2092
3,4,10921915.0,male,bike,1407432042.0,1407436561.0,75.31666666666666,60.173286236822605,60.17330308444798,24.649874344468117,24.649697318673134,32.6104,12.4,24.0,40.8,64.0,147.02,99.0,140.0,155.0,178.0,26.8778376,4.3272,21.4848,31.2651,57.9852
4,5,10921915.0,male,bike (transport),1406909434.0,1406910791.0,22.616666666666667,60.17329327762127,60.183755569159985,24.64979832060635,24.817608380690217,22.762,9.8,15.4,29.85,37.8,167.154,110.0,164.0,174.0,183.0,,,,,
5,6,10921915.0,male,bike (transport),1406665232.0,1406667252.0,33.666666666666664,60.183585081249475,60.17334599979222,24.81770033016801,24.649652056396008,39.73839999999999,25.2,32.6,46.8,56.4,148.12,106.0,138.0,159.0,179.0,,,,,
6,7,10921915.0,male,bike (transport),1406647079.0,1406648504.0,23.75,60.17327919602394,60.18371776677668,24.64981692843139,24.817585833370686,13.364,1.4,7.8,18.6,29.0,166.084,118.0,162.0,174.0,185.0,29.5922808,7.218,23.7726,35.2998,50.9724
7,8,10921915.0,male,bike (transport),1406580617.0,1406582610.0,33.21666666666667,60.18366169184446,60.17338581383228,24.817466977983713,24.64969513937831,9.056799999999999,-4.8,1.6,16.2,24.8,144.794,112.0,134.0,155.0,179.0,21.673173600000002,6.804,16.2369,26.0046,49.1436
8,9,10921915.0,male,bike,1405281638.0,1405294653.0,216.91666666666666,60.17331792041659,60.17333200201392,24.64967619627714,24.649666137993336,3.7616000000000005,-9.0,-1.8,8.2,25.4,137.804,90.0,129.0,148.0,184.0,,,,,
9,10,10921915.0,male,bike,1405100572.0,1405104994.0,73.7,60.17324591986835,60.17344105057418,24.65018338523805,24.649755069985986,22.1912,4.0,14.6,28.8,56.4,145.914,98.0,137.0,156.0,178.0,27.497555999999996,11.682,21.727800000000002,32.487300000000005,57.7404
10,11,10921915.0,male,bike,1404774259.0,1404777827.0,59.46666666666667,60.17327668145299,60.17335505224764,24.649821035563946,24.64965465478599,-6.273199999999999,-21.2,-13.05,0.6499999999999999,11.2,148.77,103.0,137.0,161.0,181.0,,,,,
11,12,10921915.0,male,bike (transport),1404492369.0,1404498336.0,99.45,60.17332605086267,60.17337206751108,24.649684326723218,24.64966823346913,26.0916,14.6,20.2,31.8,42.6,146.814,99.0,134.75,158.0,183.0,,,,,
12,13,10921915.0,male,bike,1404415397.0,1404422167.0,112.83333333333333,60.173228066414595,60.1733522862196,24.64970293454826,24.64967653155327,48.586,21.2,40.6,55.6,79.4,143.224,91.0,133.0,152.25,179.0,25.193404799999996,0.0,19.070999999999998,30.6288,52.3152
13,14,10921915.0,male,bike,1404322247.0,1404325649.0,56.7,60.17336611635983,60.17336460761726,24.649790609255433,24.64970301836729,25.903599999999997,10.4,21.2,31.2,42.2,143.854,98.0,132.0,153.0,178.0,,,,,
14,15,10921915.0,male,bike,1403535990.0,1403540424.0,73.9,60.173290092498064,60.17335304059088,24.64966152794659,24.64969027787447,84.682,61.8,75.6,93.0,119.0,155.236,99.0,148.0,164.0,176.0,27.228132,0.0,21.2634,32.2101,58.446
15,16,10921915.0,male,bike,1403464723.0,1403471770.0,117.45,60.17328456044197,60.17332789488137,24.64972003363073,24.64961056597531,28.9336,11.4,21.75,37.0,51.8,142.762,102.0,136.0,150.0,168.0,24.542733599999995,0.0,19.3644,29.022299999999998,44.7732
